name,common_name,pattern,location_found,scope,confidence_no_fp,expected_countries,source,exp_url,notes
cl.dns_nat_tr_poison,,195.175.254.2,dns,nat,10,['TR'],"['https://www.bortzmeyer.org/files/bortzmeyer-google-dns-turkey.pdf', 'https://labs.ripe.net/Members/emileaben/a-ripe-atlas-view-of-internet-meddling-in-turkeyhttps://twitter.com/isik5/status/449915384762605568?lang=en', 'https://www.abuseipdb.com/check/195.175.254.2', 'https://eksisozluk.com/195-175-254-2--4192251']",,A poisoned DNS reply used in Turkey since 2014
cl.dns_prod_cleanbrowsing_1,,185.228.168.254,dns,prod,10,[''],['https://cleanbrowsing.org/'],https://explorer.ooni.org/measurement/20190824T132919Z_AS5650_gwWRIicciG8fgrTzTFnuvsmlAHFOWgiAIAuDeL9RgH05TQsY3L?input=http://www.samesexmarriage.ca/,Cleanbrowsing DNS content filter
cl.dns_prod_cleanbrowsing_2,,207.246.127.171,dns,prod,10,[''],['https://cleanbrowsing.org/'],,Cleanbrowsing DNS content filter
cl.dns_prod_cleanbrowsing_3,,45.77.77.148,dns,prod,10,[''],['https://cleanbrowsing.org/'],,Cleanbrowsing DNS content filter
cl.dns_prod_cloudveil,,45.32.203.129,dns,prod,10,[''],['https://www.cloudveil.org/'],,"Faith focused DNS filtering system provided by the Church of God in Christ, Mennonite."
cl.dns_prod_dnswatch_1,,3.93.224.57,dns,prod,10,[''],['https://www.watchguard.com/wgrd-products/security-services/dnswatch'],,Security focused DNS filter provided by WatchGuard Technologies
cl.dns_prod_dnswatch_2,,52.206.227.167,dns,prod,10,[''],['https://www.watchguard.com/wgrd-products/security-services/dnswatch'],,Security focused DNS filter provided by WatchGuard Technologies
cl.dns_prod_flashstart,,185.236.104.104,dns,prod,10,[''],['https://flashstart.com/'],https://explorer.ooni.org/measurement/20180212T093619Z_AS12874_ivZ63xkT6Tqmlz8SyoIsbdkQNfN85CyNZTO1ZVeYTZFRh24xb8?input=http://www.gayscape.com,Security focused DNS content filter
cl.dns_prod_fortidns,,208.91.112.55,dns,prod,10,[],"['https://docs.fortinet.com/document/fortigate/6.0.0/cookbook/124730/troubleshooting', 'https://docs.fortinet.com/product/fortidns/1.3']",https://explorer.ooni.org/measurement/20190404T082635Z_AS6661_WCvp1TnPzuxfEVQl2ZjgPGkDiLXre1Lenrp1cUiwEUJ1oEk6PV?input=https://www.scruff.com/,Fortinet FortiDNS product
cl.dns_prod_id_nawala,,180.131.146.7,dns,prod,10,['ID'],['https://nawala.id/'],https://explorer.ooni.org/measurement/20170214T023529Z_AS17974_1hVbJGBPLdOsxQvNgIawwvABxfZuLNeVK5VaY1XWajguEt0yK3?input=http://www.lesbian.org,Indonesian Sehat DNS filtering product
