,measurement_uid,status,outcome
193,20231210152608.723733_RU_webconnectivity_d40624d4e512b123,blocked.blockpage.server_side,blocked
194,20231211122708.857576_US_webconnectivity_300ffe11f200c19b,ok,ok
195,20231211132853.294547_DE_browserweb_3a6b3adfe1cabf8e,down.unreachable,down
196,20231211132907.360866_DE_browserweb_d65d60b8732ac6ad,ok,ok
197,20231216232110.063892_RU_signal_dd5dc7801e77f470,ok,ok
198,20231216232611.380280_RU_psiphon_a80b27ed3d8f8d44,ok,ok
199,20231217180444.177508_US_signal_98ef8d16b16604b4,blocked.dns,blocked
200,20231221000658.071248_UA_signal_a1dbd1dcaffbcc22,down,down
201,20231222101657.548811_ES_webconnectivity_9707add2136d136c,blocked.tcp,blocked
202,20231222134352.319985_US_signal_8ea4336a848ee334,blocked,blocked
203,20231223163720.255940_ES_signal_ddf2d0d181d16dfd,blocked,blocked
204,20231229195103.347678_IR_psiphon_8f12548ce2cb0a77,blocked,blocked
205,20231229195340.889994_ES_webconnectivity_affca2bb4a7ec326,blocked.tcp,blocked
206,20231229195406.710065_ES_webconnectivity_03b7356653f525ab,blocked.tcp,blocked
207,20231229201747.363140_IR_torsf_c194668522c26897,blocked,blocked
208,20231229201844.606972_IR_torsf_2f284670d3a04aca,blocked,blocked
209,20231229202156.950852_IR_torsf_722776834d44c159,blocked,blocked
210,20231229203320.595803_IR_torsf_ccc4e4c37beebae9,blocked,blocked
211,20231229203415.005426_IR_webconnectivity_1e0f8c6c1f17b26e,blocked,blocked
212,20231229203611.902257_IR_webconnectivity_a5982aa7da15c968,blocked,blocked
213,20231229203929.431269_IR_psiphon_a8c6fada699a21a5,blocked,blocked
214,20231229203947.392487_IR_webconnectivity_2b8ccfd916ce57f5,blocked,blocked
215,20231229204527.398923_IR_webconnectivity_d9e38a9e15a9933a,ok,ok
216,20231229205440.697341_IR_psiphon_c6fb7ed97692e5a5,blocked,blocked
217,20231229205650.252899_IR_tor_577675f641ac80e5,blocked,blocked
218,20231229210035.629564_IR_webconnectivity_9d2d625b7485ceae,blocked,blocked
219,20231229210122.107127_IR_webconnectivity_ce67e82e84d3da2e,blocked,blocked
220,20231229210131.103093_IR_webconnectivity_d109d16966891827,ok,ok
221,20231229210204.016924_IR_tor_ffabeacbde6c28d3,blocked,blocked
222,20231229210221.438422_IR_webconnectivity_c7914c0dcde3a32b,ok,ok
223,20231229210633.580773_IR_psiphon_1020780a3718c5c5,blocked,blocked
224,20231229211016.784415_IR_tor_b196c19a9da9343a,blocked,blocked
225,20240101113125.808243_BG_webconnectivity_ba4cf234d47b73ec,blocked.blockpage.dns,blocked
226,20240103023256.123517_FI_facebookmessenger_3f210b7d38137077,ok,ok
227,20240105124728.932609_IN_signal_665ff2718adf4813,blocked,blocked
228,20240107112214.646331_RU_tor_ff97dd2020869ed3,ok,ok
229,20240117005152.303700_US_telegram_6cec0dc4aa52e0bd,blocked.tls,blocked
230,20240117005327.704773_US_dash_8ca3355ea979f5b8,blocked.tcp,blocked
231,20240126012946.001319_US_httpheaderfieldmanipulation_7bdeca9f176138dd,blocked.blockpage.dns,blocked
232,20240126022540.485270_US_signal_3e5b544420121192,blocked.blockpage.dns,blocked
233,20240213020502.919684_US_dash_4a5737d1a962d205,ok,ok
234,20240220050354.524776_US_webconnectivity_a690552818804fc3,down,down
235,20240224232654.007984_RU_webconnectivity_9164a3df2d35316c,ok,ok
236,20240226225131.261075_VE_webconnectivity_a3e31c999fc8b161,blocked.blockpage.http,blocked
237,20240226225231.612531_VE_webconnectivity_47d3561e542337d8,blocked.blockpage.http,blocked
238,20240226225245.422977_VE_webconnectivity_37dcdd51581cbd13,blocked.blockpage.http,blocked
239,20240227160142.829208_US_webconnectivity_2c9b945991901f8d,blocked.blockpage.server_side,blocked
240,20240303212845.903681_RU_torsf_15f6d4fe79fd17d1,blocked,blocked
241,20240305115627.234066_SN_vanillator_4a25da4158ec358b,blocked,blocked
242,20240311005741.675686_SE_webconnectivity_2a4a84928bd17ab0,ok,ok
243,20240316062349.575036_US_webconnectivity_b63efd0ed694e005,blocked.tcp,blocked
244,20240328194436.111684_TR_webconnectivity_5414b98b9c9f873b,blocked.tcp,blocked
245,20240406230645.376001_EG_tor_aca852017daea25e,blocked,blocked
246,20240409035157.511121_BR_webconnectivity_85b1de4e410314f7,ok,ok
247,20240410115514.842786_BR_webconnectivity_6d224ea8b6b3ca7c,blocked.blockpage.dns,blocked
248,20240410124541.400148_BR_webconnectivity_ac16eb05475f622a,blocked.blockpage.dns,blocked
249,20240410125508.024884_BR_tor_96354b17225c86db,blocked,blocked
250,20240410134516.191956_BR_webconnectivity_a947a71df23203f3,blocked.blockpage,blocked
251,20240410135012.070725_BR_webconnectivity_d3e9bce608599d5e,blocked.blockpage,blocked
252,20240413230148.929136_KH_webconnectivity_33ae9436d7b6779c,down.misconfigured,down
253,20240415141511.755790_BR_webconnectivity_07547042a9307621,blocked.blockpage.dns,blocked
254,20240416214307.425888_BR_webconnectivity_c9d912510d61bc0b,blocked.blockpage,blocked
255,20240418071953.744226_BR_webconnectivity_2c6b65eeff39f34f,blocked.blockpage,blocked
256,20240422175948.138414_FR_httpinvalidrequestline_3db55d5c74af9da4,down.unreachable,down
257,20240505191929.287281_AE_tor_2c2ad53006c55605,blocked.tcp,blocked
258,20240506163355.336279_VN_webconnectivity_8de9ce661982414d,blocked.blockpage.http,blocked
259,20240508114544.444840_BR_webconnectivity_379718729eeed45b,blocked,blocked
260,20240514091759.626287_NL_webconnectivity_38962f675df0f676,blocked.blockpage.http,blocked
261,20240519182127.049517_US_webconnectivity_6e12ec842e98674a,ok,ok
262,20240522113817.495473_NL_webconnectivity_e81ed947814f9d2a,blocked.blockpage.dns,blocked
263,20240524142956.125292_JO_webconnectivity_5cd31e0f03494bd2,blocked.tcp,blocked
264,20240601154335.954619_SV_telegram_6a1ea4f228eec94e,blocked,blocked
265,20240627074955.407639_RU_webconnectivity_99e23c2b9680c1cb,blocked.blockpage.server_side,blocked
266,20240704234509.514733_NL_webconnectivity_6f924d2e43209ae1,ok,ok
267,20240705015016.667807_AE_webconnectivity_392604bce72a44d5,ok,ok
268,20240722041303.591874_MM_webconnectivity_98e6671dd7dce61a,blocked.tcp,blocked
269,20240722041334.778473_MM_webconnectivity_93a628687303be86,blocked.tcp,blocked
270,20240722042117.264677_MM_psiphon_d070773ff0def3a6,blocked,blocked
271,20240722042428.067975_MM_tor_c8f3f8a6599d1ba7,blocked,blocked
272,20240722042950.433988_MM_webconnectivity_d388cdc8bad1f15c,blocked.tcp,blocked
273,20240726064654.628644_PK_httpinvalidrequestline_60344e3445c0f591,blocked.tcp,blocked
274,20240728114019.011456_VE_webconnectivity_1f0ba3819685e272,blocked.blockpage.http,blocked
275,20240801104158.280450_NG_ndt_0052b6e910265283,down.unreachable,down
276,20240810153107.018326_DE_ndt_d5be83f1a7c5d605,ok,ok
277,20240810175938.750056_VE_webconnectivity_016721e1ebfdc2ed,blocked.tcp,blocked
278,20240810182504.634031_VE_webconnectivity_853b19341a35d2f0,blocked.tcp,blocked
279,20240810182604.928599_VE_webconnectivity_f42bd5020088c498,blocked.blockpage.http,blocked
280,20240815043926.030750_VE_webconnectivity_f034e025b6db08ea,blocked.tcp,blocked
281,20240815092817.050941_DE_webconnectivity_661003d3498d802f,ok,ok
282,20240815172949.387668_VE_webconnectivity_427addcd5d1ea806,blocked.tcp,blocked
283,20240818234433.791006_VE_webconnectivity_8fac03865551a8eb,ok,ok
284,20240820000738.441114_US_dash_562a4dac7563a905,ok,ok
285,20240820163242.249906_JO_webconnectivity_a826f460299fa996,blocked.dns.inconsistent,blocked
